trial,total_frames,swapped_frames,error_rate,num_segments,is_perfect,mean_segment_length,median_segment_length,min_segment_length,max_segment_length
2024.11.13_00-06-31_Sussex_e2hex,9000,5366,59.62222222222222,16,False,335.375,11.0,1,2683
2024.11.13_00-13-24_Sussex_e2hex,9000,4897,54.41111111111111,15,False,326.46666666666664,11.0,1,1872
2024.11.13_00-19-29_Sussex_e2hex,9000,4178,46.42222222222222,30,False,139.26666666666668,18.5,1,1107
2024.11.13_00-25-37_Sussex_e2hex,9000,5715,63.5,8,False,714.375,13.5,1,4035
2024.11.13_00-32-18_Sussex_e2hex,9000,5368,59.644444444444446,19,False,282.5263157894737,6.0,1,1381
2024.11.13_00-42-08_Sussex_e2hex,9000,5309,58.988888888888894,23,False,230.82608695652175,3.0,1,2694
2024.11.13_00-48-15_Sussex_e2hex,9000,3355,37.27777777777778,11,False,305.0,15.0,1,1350
2024.11.13_00-54-20_Sussex_e2hex,9000,6033,67.03333333333333,45,False,134.06666666666666,3.0,1,2062
2024.11.13_01-00-17_Sussex_e2hex,9000,3881,43.12222222222222,4,False,970.25,884.0,6,2107
2024.11.13_01-06-27_Sussex_e2hex,9000,6061,67.34444444444443,12,False,505.0833333333333,16.0,1,2713
2024.11.13_01-12-20_Sussex_e2hex,9000,3572,39.68888888888889,6,False,595.3333333333334,459.0,2,1546
2024.11.13_01-23-08_Sussex_e2hex,9000,4283,47.58888888888889,7,False,611.8571428571429,148.0,1,2441
2024.11.13_01-29-09_Sussex_e2hex,9000,3625,40.27777777777778,11,False,329.54545454545456,17.0,1,1547
2024.11.13_22-30-49_Sussex_e2hex,9000,4023,44.7,23,False,174.91304347826087,10.0,1,1064
2024.11.13_22-36-51_Sussex_e2hex,9000,2778,30.866666666666664,10,False,277.8,19.0,1,1890
2024.11.13_22-42-56_Sussex_e2hex,9000,5000,55.55555555555556,17,False,294.11764705882354,29.0,1,1238
2024.11.13_22-49-17_Sussex_e2hex,9000,4098,45.53333333333333,54,False,75.88888888888889,5.5,1,598
2024.11.13_22-56-14_Sussex_e2hex,9000,4183,46.47777777777778,6,False,697.1666666666666,320.5,1,2497
2024.11.13_23-03-13_Sussex_e2hex,9000,3479,38.65555555555555,8,False,434.875,7.5,1,1650
2024.11.13_23-20-37_Sussex_e2hex,9000,5788,64.3111111111111,3,False,1929.3333333333333,527.0,58,5203
2024.11.13_23-27-04_Sussex_e2hex,9000,3580,39.77777777777778,8,False,447.5,232.0,2,1268
2024.11.13_23-33-54_Sussex_e2hex,9000,4278,47.53333333333333,5,False,855.6,1100.0,3,1683
2024.11.13_23-40-02_Sussex_e2hex,9000,3967,44.077777777777776,9,False,440.77777777777777,107.0,1,1774
2024.11.13_23-46-07_Sussex_e2hex,9000,3941,43.78888888888889,14,False,281.5,36.5,2,1353
2024.11.14_21-32-23_Sussex_e2hex,9000,4411,49.01111111111111,9,False,490.1111111111111,17.0,1,2499
