feature,importance
alignment_angle_mean_50,0.39935797
alignment_angle_mean_20,0.22323284
head_speed_mean_50,0.041980177
tail_speed_mean_50,0.032903306
alignment_angle,0.031864755
tail_speed_mean_20,0.026887078
head_speed_std_50,0.024546767
tail_velocity_magnitude,0.016015124
tail_speed_std_50,0.015790062
tail_speed,0.015356666
head_tail_distance,0.013066577
head_speed_mean_20,0.011912458
body_orientation_angle,0.009242963
cumulative_head_distance,0.00864045
speed_ratio,0.008616478
tail_speed_mean_5,0.008175843
centroid_y,0.0073264623
alignment_angle_std_50,0.0068585076
tail_mid_distance,0.0067316038
alignment_angle_mean_5,0.0063453754
tail_y,0.006330003
tail_speed_mean_10,0.006115738
head_y,0.005424564
mid_x,0.005051585
position_in_trial,0.0049798423
cumulative_tail_distance,0.0039611743
alignment_angle_std_5,0.0038774232
head_velocity_magnitude,0.0035335973
alignment_angle_std_20,0.0035124766
mid_y,0.0033869923
head_x,0.0033672168
head_speed_mean_10,0.003066774
head_motion_angle,0.0027933004
alignment_angle_mean_10,0.00243206
head_mid_distance,0.002021885
head_speed_std_20,0.0020200603
head_speed,0.0020083354
tail_x,0.0019914613
tail_velocity_y,0.0018512384
tail_speed_std_20,0.0017050118
tail_motion_angle,0.0016296355
head_velocity_y,0.0015456836
tail_velocity_x,0.0015229055
head_velocity_x,0.0014213488
head_path_curvature,0.0011844144
head_speed_mean_5,0.0011735017
alignment_angle_std_10,0.0011162336
relative_velocity_magnitude,0.0010798306
tail_speed_std_5,0.0010288788
cross_sign,0.0008441266
tail_angular_velocity,0.00076687464
centroid_x,0.00074519403
head_speed_std_10,0.0005408972
head_angular_velocity,0.00053609983
head_speed_std_5,0.00045886685
tail_speed_std_10,0.00012333668
