feature,importance
alignment_angle_mean_50,0.34855336
alignment_angle_mean_20,0.15062775
head_speed_mean_50,0.10259751
head_speed_mean_20,0.042107433
head_speed_std_50,0.032658104
speed_ratio,0.031268455
tail_speed_mean_50,0.031146947
alignment_angle,0.027488519
tail_speed_mean_20,0.027483668
tail_speed_std_50,0.01609711
tail_speed_mean_5,0.009744912
tail_speed,0.009681823
head_tail_distance,0.008857628
head_speed_mean_10,0.007704082
alignment_angle_std_50,0.007622177
tail_speed_mean_10,0.007066953
tail_y,0.006983304
cumulative_head_distance,0.006331808
relative_velocity_magnitude,0.006136759
head_mid_distance,0.0060045454
centroid_y,0.0059377616
tail_x,0.005687415
mid_x,0.005300424
centroid_x,0.0052446253
alignment_angle_std_10,0.004885664
mid_y,0.0048260624
tail_mid_distance,0.0046961675
position_in_trial,0.0046878094
head_x,0.004659478
alignment_angle_mean_5,0.0043302644
head_velocity_y,0.004272917
head_speed_std_20,0.004054275
head_y,0.0038970641
head_speed_mean_5,0.0038889132
alignment_angle_std_20,0.0038876024
body_orientation_angle,0.0034922007
tail_speed_std_20,0.0033545573
head_speed,0.003239351
alignment_angle_mean_10,0.0032351173
cumulative_tail_distance,0.0028363406
head_angular_velocity,0.0027445676
tail_velocity_magnitude,0.0027057212
alignment_angle_std_5,0.0024162207
head_speed_std_5,0.0023140043
head_speed_std_10,0.0021091541
tail_angular_velocity,0.0020496673
head_motion_angle,0.0017539575
head_path_curvature,0.00156058
tail_velocity_x,0.0014398358
cross_sign,0.0014313082
tail_velocity_y,0.0012823956
head_velocity_x,0.0012253918
head_velocity_magnitude,0.0011734266
tail_speed_std_10,0.0011406265
tail_speed_std_5,0.0010764414
tail_motion_angle,0.0009998211
