sigma,precision,recall,f1,auc,confusion_matrix,n_test_samples,n_positive,n_predicted_positive,time_seconds
4.6,0.9911969111969112,0.9976682729675113,0.9944220638363805,0.9998981505598328,"{'tn': 38510, 'fp': 57, 'fn': 15, 'tp': 6418}",45000,6433,6475,14.447425842285156
4.4,0.9892108508014796,0.9976682729675113,0.9934215617986224,0.9998853171031272,"{'tn': 38497, 'fp': 70, 'fn': 15, 'tp': 6418}",45000,6433,6488,14.82215929031372
5.0,0.9887553912507702,0.9978237214363439,0.9932688588007736,0.99989361209493,"{'tn': 38494, 'fp': 73, 'fn': 14, 'tp': 6419}",45000,6433,6492,14.138173818588257
5.6,0.9917829457364341,0.994403855122027,0.9930916711945975,0.9998685578339748,"{'tn': 38514, 'fp': 53, 'fn': 36, 'tp': 6397}",45000,6433,6450,14.330129146575928
4.8,0.9881483761736186,0.9979791699051764,0.9930394431554525,0.9999249178292993,"{'tn': 38490, 'fp': 77, 'fn': 13, 'tp': 6420}",45000,6433,6497,14.126182079315186
5.2,0.9875077112893276,0.9953365459350225,0.9914066733761709,0.9998090136581231,"{'tn': 38486, 'fp': 81, 'fn': 30, 'tp': 6403}",45000,6433,6484,14.306485891342163
5.8,0.9897721989772199,0.9928493704337013,0.9913083967096074,0.9997219767033181,"{'tn': 38501, 'fp': 66, 'fn': 46, 'tp': 6387}",45000,6433,6453,14.800851821899414
4.2,0.9883936861652739,0.9928493704337013,0.9906165180302443,0.9997636269937913,"{'tn': 38492, 'fp': 75, 'fn': 46, 'tp': 6387}",45000,6433,6462,15.196403980255127
4.0,0.9850377911460744,0.9926939219648686,0.9888510374729018,0.9994981409041076,"{'tn': 38470, 'fp': 97, 'fn': 47, 'tp': 6386}",45000,6433,6483,14.68118929862976
5.4,0.9906185403084751,0.9684439608269858,0.9794057538122937,0.9997432945904146,"{'tn': 38508, 'fp': 59, 'fn': 203, 'tp': 6230}",45000,6433,6289,14.623870849609375
6.0,0.9930476960388036,0.9547644955697187,0.9735298779521319,0.9997164225251334,"{'tn': 38524, 'fp': 43, 'fn': 291, 'tp': 6142}",45000,6433,6185,14.890112161636353
