trial,total_frames,swapped_frames,error_rate,num_segments,is_perfect,mean_segment_length,median_segment_length,min_segment_length,max_segment_length
2024.10.08_11-29-42_Sto_car_no_odor,9000,3048,33.86666666666667,6,False,508.0,198.5,5,1985
2024.11.13_02-42-37_Biarmipes_G224_e2hex,9000,4971,55.233333333333334,84,False,59.17857142857143,16.0,1,674
2024.10.14_13-54-30_Biarmipes84_1hexanol,9000,4247,47.18888888888889,13,False,326.6923076923077,29.0,1,1591
2024.10.17_09-19-40_Sto_car_prenac,9000,4606,51.17777777777778,78,False,59.05128205128205,3.0,1,3767
2024.10.08_13-56-40_Stocago_2hexanol,9000,6439,71.54444444444444,57,False,112.96491228070175,24.0,1,1772
2024.12.19_14-05-53_Biarmipes_G224_no_odor,9000,3566,39.62222222222222,329,False,10.838905775075988,2.0,1,556
2024.10.23_14-37-04_Biarmipes_g224_prenac,9000,1988,22.08888888888889,116,False,17.137931034482758,2.0,1,842
2024.10.24_09-31-22_Biarmipes_G224_metben,9000,4718,52.422222222222224,62,False,76.09677419354838,3.5,1,1114
2024.09.30_15-33-53_Biarmipes84_no_odor,9000,3427,38.077777777777776,34,False,100.79411764705883,6.0,1,2495
2024.10.31_08-37-25_Biarmipes84_metben,9000,3761,41.788888888888884,7,False,537.2857142857143,589.0,4,1074
2024.10.08_12-50-07_Stocago_2hexanol,9000,5171,57.45555555555556,25,False,206.84,27.0,1,1147
2024.10.25_07-10-10_CantonS_metben,9000,2363,26.255555555555553,10,False,236.3,5.0,1,1858
2024.07.05_12-24-23_CantonS (no odor),9000,776,8.622222222222224,9,False,86.22222222222223,1.0,1,321
2024.10.15_11-47-23_sussex_prenac,9000,4090,45.44444444444444,126,False,32.46031746031746,1.5,1,1801
2024.10.02_10-46-18_Biarmipes_G224_no_odor,9000,3991,44.34444444444444,128,False,31.1796875,3.0,1,1030
2024.09.24_15-40-27_Yakuba7_no_odor,9000,3034,33.71111111111111,1,False,3034.0,3034.0,3034,3034
2024.11.12_06-12-26_Yakuba_cameroon_e2hex,9000,4337,48.18888888888889,30,False,144.56666666666666,4.5,1,1364
2025.04.09_12-09-16_Riverside_metbut,9000,4341,48.233333333333334,59,False,73.57627118644068,5.0,1,1942
2024.07.05_16-50-17_Riverside (no odor),9000,2048,22.755555555555556,16,False,128.0,3.0,1,867
2024.10.18_06-37-46_CantonS_prenac,9000,1290,14.333333333333334,122,False,10.573770491803279,1.0,1,325
2024.11.13_22-18-41_Yakuba_cameroon_e2hex,9000,4049,44.98888888888889,22,False,184.04545454545453,33.5,1,1413
2024.11.04_07-41-12_biarmipes84_e2hex,9000,2013,22.366666666666667,124,False,16.233870967741936,2.0,1,417
2024.10.29_04-30-46_Biarmipes84_metben,9000,3505,38.94444444444444,97,False,36.134020618556704,5.0,1,1038
2024.09.30_14-44-36_Yakuba_cameroon_no_odor,9000,1462,16.244444444444444,24,False,60.916666666666664,6.0,1,973
2024.10.11_11-24-51_Biarmipes_G224_1hexanol,9000,3878,43.08888888888889,14,False,277.0,220.0,1,946
2024.07.05_16-44-37_Riverside (no odor),9000,4761,52.900000000000006,24,False,198.375,4.0,1,2526
2024.09.24_16-57-51_Yakuba7_no_odor,9000,2598,28.866666666666667,316,False,8.221518987341772,3.0,1,578
2024.10.11_14-52-17_Yakuba_cameroon_2hexanol,9000,4644,51.6,37,False,125.51351351351352,4.0,1,1187
2024.10.15_10-31-40_Sto_car_2hexanol,9000,5056,56.177777777777784,27,False,187.25925925925927,6.0,1,2084
2024.07.10_13-22-47_Riverside (MetBen),9000,4676,51.955555555555556,3,False,1558.6666666666667,1026.0,364,3286
2024.09.25_15-34-50_Sto_cago_no_odor,9000,4497,49.96666666666666,13,False,345.9230769230769,7.0,1,1343
2024.10.10_13-41-00_Biarmipes84_1hexanol,9000,4526,50.28888888888889,54,False,83.81481481481481,38.0,1,555
2024.07.10_12-35-26_Riverside (MetBen),9000,5270,58.55555555555556,27,False,195.1851851851852,3.0,1,1598
2024.10.10_12-36-06_sussex_metbut,9000,4489,49.87777777777778,156,False,28.775641025641026,5.5,1,1867
2024.10.10_10-12-04_sechellia28_no_odor,9000,4849,53.87777777777778,14,False,346.35714285714283,29.0,6,2850
2024.10.14_10-02-09_Riverside_prenac,9000,3982,44.24444444444444,40,False,99.55,2.0,1,1715
2024.10.25_06-44-03_CantonS_metben,9000,3245,36.05555555555556,31,False,104.6774193548387,5.0,1,1344
2024.10.15_10-46-19_Sussex_prenac,9000,4819,53.54444444444444,80,False,60.2375,1.0,1,1106
2024.09.30_13-19-46_Yakuba_cameroon_no_odor,9000,1587,17.633333333333333,34,False,46.6764705882353,4.0,1,649
2024.10.25_08-49-36_Sussex_metben,9000,5677,63.077777777777776,10,False,567.7,137.0,5,2322
2024.11.14_01-11-17_Biarmipes84_e2hex,9000,5012,55.68888888888889,17,False,294.8235294117647,105.0,2,1707
2024.07.09_11-29-10_Riverside (E-2-Hex),9000,5117,56.85555555555556,30,False,170.56666666666666,15.5,1,1091
2024.10.24_09-18-55_Biarmipes_G224_prenac,9000,3175,35.27777777777778,210,False,15.119047619047619,2.0,1,759
2024.10.15_08-46-20_Biarmipes_G224_1hexanol,9000,4725,52.5,19,False,248.68421052631578,222.0,1,1268
2024.07.10_16-32-09_CantonS (E-2-Hex),9000,20,0.2222222222222222,18,False,1.1111111111111112,1.0,1,2
2024.12.01_19-22-44_Biarmipes84_prenac,9000,4561,50.67777777777778,31,False,147.1290322580645,28.0,1,1707
2024.11.14_20-55-03_Sto_car_e2hex,9000,3998,44.422222222222224,50,False,79.96,3.0,1,2966
2024.11.05_02-28-29_Yakuba7_e2hex,9000,4417,49.077777777777776,9,False,490.77777777777777,26.0,2,1473
2024.11.12_06-49-11_Biarmipes_G224_e2hex,9000,4912,54.57777777777778,32,False,153.5,29.5,1,2297
2024.11.04_05-11-38_Stocago_e2hex,9000,3987,44.3,40,False,99.675,15.0,1,1506
2024.11.25_17-16-46_Sussex_no_odor,9000,2240,24.88888888888889,13,False,172.30769230769232,2.0,1,2160
2024.12.12_19-13-14_Riverside_metben,9000,3405,37.833333333333336,194,False,17.551546391752577,2.0,1,1344
2024.12.12_19-06-43_Riverside_no_odor,9000,4676,51.955555555555556,85,False,55.01176470588236,4.0,1,1648
2024.10.28_06-33-08_Stocago_metben,9000,4751,52.788888888888884,20,False,237.55,12.5,1,2512
2024.11.12_07-08-45_Biarmipes_G224_e2hex,9000,4280,47.55555555555556,34,False,125.88235294117646,23.5,1,956
