feature,importance
alignment_angle_mean_50,0.34459487
alignment_angle_mean_10,0.13849682
alignment_angle_mean_20,0.091638185
head_speed_mean_20,0.08204206
tail_speed_mean_20,0.050594162
head_speed_std_50,0.03219216
head_speed_mean_50,0.028105484
alignment_angle,0.027864695
speed_ratio,0.022878403
tail_speed_std_50,0.02227818
tail_speed_mean_50,0.012481598
tail_speed_std_20,0.011233635
head_speed_std_20,0.0095023895
alignment_angle_std_50,0.009278631
cumulative_tail_distance,0.0090061845
head_tail_distance,0.008754101
tail_speed,0.0085180085
cross_sign,0.0084582
head_speed_mean_10,0.008042874
tail_mid_distance,0.007977029
head_mid_distance,0.007861192
cumulative_head_distance,0.00758842
position_in_trial,0.0068871006
alignment_angle_std_20,0.00681726
tail_speed_mean_10,0.0065449798
body_orientation_angle,0.0062839906
head_tail_curvature_ratio,0.0048144967
relative_velocity_magnitude,0.0040444783
tail_acceleration,0.0025372924
head_speed,0.0025197314
head_acceleration,0.0022727747
head_motion_angle,0.0022102972
tail_motion_angle,0.0019465529
tail_angular_velocity,0.0016540858
head_angular_velocity,0.0011143729
relative_acceleration,0.0009652661
