feature,importance
alignment_angle_mean_50,0.35621038
alignment_angle_mean_10,0.31852534
alignment_angle_mean_20,0.09350027
alignment_angle,0.032029044
head_speed_std_50,0.021877592
head_speed_mean_50,0.018884076
tail_speed_mean_50,0.012584829
tail_speed,0.012396323
tail_speed_std_50,0.00899571
tail_mid_distance,0.008892446
body_orientation_angle,0.008795278
head_speed_mean_20,0.00861211
head_speed,0.008467902
position_in_trial,0.0070161386
cumulative_head_distance,0.006835176
alignment_angle_std_20,0.0067492635
head_motion_angle,0.0059384685
cumulative_tail_distance,0.0055664233
head_tail_distance,0.005458179
head_mid_distance,0.00542895
speed_ratio,0.005355815
tail_speed_std_20,0.005088136
alignment_angle_std_50,0.0049190833
cross_sign,0.0042072157
head_angular_velocity,0.0040980196
tail_motion_angle,0.003959757
tail_speed_mean_20,0.0036248558
tail_acceleration,0.0035194273
relative_velocity_magnitude,0.0028795972
head_speed_std_20,0.0025939317
tail_speed_mean_10,0.002577657
head_speed_mean_10,0.002380132
head_acceleration,0.0011907397
relative_acceleration,0.0004306903
tail_angular_velocity,0.00041118747
head_tail_curvature_ratio,0.0
