trial,start_frame,end_frame,is_swapped
2024.10.07_14-01-28_Yakuba7_2hexanol,3.0,5066.0,1.0
2024.10.07_14-01-28_Yakuba7_2hexanol,5068.0,8120.0,1.0
2024.10.07_14-01-28_Yakuba7_2hexanol,8122.0,8999.0,1.0
2024.10.23_12-55-29_Yakuba_cameroon_prenac,3.0,2391.0,1.0
2024.10.23_12-55-29_Yakuba_cameroon_prenac,2393.0,2393.0,1.0
2024.10.23_12-55-29_Yakuba_cameroon_prenac,7783.0,8306.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,1661.0,3320.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,3322.0,3322.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,3332.0,3353.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,3355.0,3370.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,3374.0,3375.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,3379.0,3392.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6546.0,6577.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6579.0,6635.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6637.0,6637.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6646.0,6743.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6745.0,6874.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6878.0,6911.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6924.0,6925.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,6934.0,7016.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,7018.0,7018.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,7028.0,8452.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,8455.0,8858.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,8860.0,8864.0,1.0
2024.10.11_10-59-12_Biarmipes_G224_1hexanol,8867.0,8867.0,1.0
2024.11.01_06-57-56_Yakuba7_metben,6774.0,6821.0,1.0
2024.11.01_06-57-56_Yakuba7_metben,6823.0,6841.0,1.0
2024.11.01_06-57-56_Yakuba7_metben,6843.0,6858.0,1.0
2024.11.01_06-57-56_Yakuba7_metben,6860.0,6863.0,1.0
2024.10.23_11-08-40_Stocago_prenac,4718.0,8013.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8015.0,8082.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8084.0,8244.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8246.0,8248.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8253.0,8253.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8256.0,8259.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8261.0,8264.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8269.0,8269.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8271.0,8278.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8282.0,8282.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8285.0,8308.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8310.0,8310.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8312.0,8314.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8316.0,8317.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8319.0,8323.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8325.0,8325.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8327.0,8327.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8329.0,8339.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8341.0,8362.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8364.0,8367.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8369.0,8370.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8372.0,8382.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8387.0,8390.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8392.0,8393.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8395.0,8398.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8400.0,8403.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8406.0,8415.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8417.0,8417.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8421.0,8422.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8425.0,8425.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8427.0,8430.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8433.0,8439.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8442.0,8442.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8445.0,8446.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8448.0,8452.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8456.0,8458.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8460.0,8460.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8462.0,8462.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8470.0,8471.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8473.0,8475.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8479.0,8479.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8482.0,8482.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8485.0,8490.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8492.0,8495.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8500.0,8504.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8506.0,8507.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8511.0,8511.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8518.0,8520.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8523.0,8523.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8526.0,8529.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8531.0,8531.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8540.0,8546.0,1.0
2024.10.23_11-08-40_Stocago_prenac,8548.0,8558.0,1.0
