threshold,precision,recall,f1,sensitivity,specificity,pct_swaps_resolved,pct_frames_clean_pre,pct_frames_clean_post,tp,fp,fn,tn,n_frames,n_swapped_gt,n_swapped_pred
0.01,0.7723933197339834,0.9998926531839065,0.8715415204678363,0.9998926531839065,0.7765621438572499,99.98926531839065,56.87222222222223,87.28796296296296,46573,13724,5,47698,108000,46578,60297
0.0198989898989899,0.7967854025093716,0.9993773884666581,0.8866560633910799,0.9993773884666581,0.8067142066360588,99.93773884666581,56.87222222222223,88.98055555555555,46549,11872,29,49550,108000,46578,58421
0.029797979797979796,0.8106572802676518,0.9987977156597535,0.8949464247927207,0.9987977156597535,0.8230927029403146,99.87977156597535,56.87222222222223,89.88703703703703,46522,10866,56,50556,108000,46578,57388
0.039696969696969696,0.8207368959977402,0.9980892266735368,0.9007663169316321,0.9980892266735368,0.8346846406824916,99.80892266735368,56.87222222222223,90.51574074074074,46489,10154,89,51268,108000,46578,56643
0.049595959595959596,0.8285663210582768,0.9951049851861393,0.904231452037691,0.9951049851861393,0.8438670183321937,99.51049851861393,56.87222222222223,90.90925925925926,46350,9590,228,51832,108000,46578,55940
0.059494949494949496,0.8352306554330765,0.9939456395723303,0.9077024125795289,0.9939456395723303,0.8513073491582821,99.39456395723303,56.87222222222223,91.2824074074074,46296,9133,282,52289,108000,46578,55429
0.06939393939393938,0.8421886668730989,0.9926789471424278,0.9112624286798254,0.9926789471424278,0.8589430497215981,99.26789471424277,56.87222222222223,91.66203703703704,46237,8664,341,52758,108000,46578,54901
0.07929292929292929,0.8474921543797831,0.9914337240757439,0.9138294398765175,0.9914337240757439,0.8647064569698154,99.14337240757439,56.87222222222223,91.9361111111111,46179,8310,399,53112,108000,46578,54489
0.08919191919191918,0.8529999629862679,0.9895444201124994,0.9162127777998649,0.9895444201124994,0.870681514766696,98.95444201124994,56.87222222222223,92.19444444444444,46091,7943,487,53479,108000,46578,54034
0.09909090909090908,0.8580197391742383,0.9873545450641934,0.9181548658873794,0.9873545450641934,0.8761030249747648,98.73545450641934,56.87222222222223,92.40833333333333,45989,7610,589,53812,108000,46578,53599
0.10898989898989898,0.8621240001502122,0.9857658121860106,0.9198084859169037,0.9857658121860106,0.8804500016280812,98.57658121860105,56.87222222222223,92.58703703703704,45915,7343,663,54079,108000,46578,53258
0.11888888888888888,0.866446249763839,0.9846064665722015,0.9217550347710737,0.9846064665722015,0.8849109439614471,98.46064665722015,56.87222222222223,92.79074074074074,45861,7069,717,54353,108000,46578,52930
0.12878787878787878,0.8708297690333618,0.9835115290480484,0.9237470130970025,0.9835115290480484,0.8893718862948129,98.35115290480483,56.87222222222223,92.99722222222222,45810,6795,768,54627,108000,46578,52605
0.1386868686868687,0.8750023901944662,0.982438060887114,0.9256131479140328,0.982438060887114,0.8935723356452085,98.24380608871141,56.87222222222223,93.18981481481482,45760,6537,818,54885,108000,46578,52297
0.1485858585858586,0.8794367172620765,0.9814504701790545,0.9276473990198765,0.9814504701790545,0.8979681547328319,98.14504701790545,56.87222222222223,93.39722222222223,45714,6267,864,55155,108000,46578,51981
