min_votes,window_size,alignment_angle_threshold,speed_ratio_threshold,min_segment_size,angular_vel_ratio,angular_var_ratio,distance_ratio_threshold,min_segment_duration,perfect_preserved,false_positives,problematic_improved,problematic_worsened,problematic_unchanged,avg_error_change,known_trial_error,perfect_trials,problematic_trials
3,50,90.0,0.9,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,50,90.0,0.9,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,50,90.0,1.0,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,50,90.0,1.0,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,50,110.0,0.9,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,50,110.0,0.9,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,50,110.0,1.0,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,50,110.0,1.0,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,90.0,0.9,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,90.0,0.9,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,90.0,1.0,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,90.0,1.0,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,110.0,0.9,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,110.0,0.9,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,110.0,1.0,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
3,100,110.0,1.0,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,90.0,0.9,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,90.0,0.9,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,90.0,1.0,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,90.0,1.0,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,110.0,0.9,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,110.0,0.9,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,110.0,1.0,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,50,110.0,1.0,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,100,90.0,0.9,0,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
4,100,90.0,0.9,50,1.0,1.0,0.9,0.0,12,2,3,2,6,-3.46969696969697,36.522222222222226,14,11
